id,topic,message,timestamp,Temperature (°C),Air Quality,Humidity
381,t4g1,27.3;73.6;36,2024-07-16 04:27:51,27.3,73.6,36
382,t4g1,27.3;73.8;32,2024-07-16 04:37:51,27.3,73.8,32
383,t4g1,27.3;73.9;31,2024-07-16 04:47:52,27.3,73.9,31
384,t4g1,27.3;74.4;31,2024-07-16 04:57:52,27.3,74.4,31
385,t4g1,27.3;74.4;31,2024-07-16 05:07:53,27.3,74.4,31
386,t4g1,27.3;74.7;31,2024-07-16 05:17:53,27.3,74.7,31
387,t4g1,27.4;74.6;31,2024-07-16 05:27:53,27.4,74.6,31
388,t4g1,27.4;74.8;31,2024-07-16 05:37:54,27.4,74.8,31
389,t4g1,27.3;74.9;28,2024-07-16 05:47:54,27.3,74.9,28
390,t4g1,27.3;74.9;30,2024-07-16 05:57:55,27.3,74.9,30
391,t4g1,27.4;75.0;32,2024-07-16 06:07:56,27.4,75.0,32
392,t4g1,27.3;75.3;30,2024-07-16 06:17:56,27.3,75.3,30
393,t4g1,27.3;75.0;33,2024-07-16 06:27:56,27.3,75.0,33
394,t4g1,27.3;72.2;31,2024-07-16 06:37:57,27.3,72.2,31
395,t4g1,27.1;70.2;33,2024-07-16 06:47:58,27.1,70.2,33
396,t4g1,26.9;69.1;34,2024-07-16 06:57:58,26.9,69.1,34
397,t4g1,26.7;68.1;35,2024-07-16 07:07:59,26.7,68.1,35
398,t4g1,26.5;67.9;36,2024-07-16 07:17:59,26.5,67.9,36
399,t4g1,26.3;67.0;37,2024-07-16 07:28:00,26.3,67.0,37
400,t4g1,26.2;66.3;37,2024-07-16 07:38:00,26.2,66.3,37
401,t4g1,26.0;65.3;38,2024-07-16 07:48:01,26.0,65.3,38
402,t4g1,25.9;64.0;38,2024-07-16 07:58:01,25.9,64.0,38
403,t4g1,25.7;62.7;38,2024-07-16 08:08:02,25.7,62.7,38
404,t4g1,25.6;61.8;38,2024-07-16 08:18:02,25.6,61.8,38
405,t4g1,25.4;60.7;38,2024-07-16 08:28:03,25.4,60.7,38
406,t4g1,25.3;59.5;38,2024-07-16 08:38:03,25.3,59.5,38
407,t4g1,25.2;59.0;39,2024-07-16 08:48:04,25.2,59.0,39
408,t4g1,25.1;58.6;38,2024-07-16 08:58:04,25.1,58.6,38
409,t4g1,25.1;58.3;38,2024-07-16 09:08:05,25.1,58.3,38
410,t4g1,24.9;58.1;38,2024-07-16 09:18:05,24.9,58.1,38
411,t4g1,24.9;58.0;38,2024-07-16 09:28:06,24.9,58.0,38
412,t4g1,24.7;57.9;38,2024-07-16 09:38:06,24.7,57.9,38
