id,clientID,topic,message,timestamp
51,t4g4:122,t4g4,24.15;60.82;3,9/7/2024 13:19
52,t4g4:122,t4g4,23.98;61.94;3,9/7/2024 13:34
53,t4g4:122,t4g4,24.02;61.99;3,9/7/2024 13:49
54,t4g4:122,t4g4,23.84;62.30;3,9/7/2024 14:04
55,t4g4:122,t4g4,23.89;62.44;3,9/7/2024 14:19
56,t4g4:122,t4g4,23.75;62.40;3,9/7/2024 14:34
57,t4g4:122,t4g4,23.98;61.76;3,9/7/2024 14:49
58,t4g4:122,t4g4,24.01;61.94;3,9/7/2024 15:04
59,t4g4:122,t4g4,24.74;60.33;3,9/7/2024 15:19
60,t4g4:122,t4g4,25.18;58.62;3,9/7/2024 15:35
61,t4g4:122,t4g4,25.86;58.22;3,9/7/2024 15:50
62,t4g4:122,t4g4,25.78;59.17;3,9/7/2024 16:05
63,t4g4:122,t4g4,25.34;60.39;3,9/7/2024 16:20
64,t4g4:122,t4g4,25.10;61.08;3,9/7/2024 16:35
65,t4g4:122,t4g4,24.93;60.80;3,9/7/2024 16:50
66,t4g4:122,t4g4,24.76;61.28;3,9/7/2024 17:05
67,t4g4:122,t4g4,24.83;60.44;3,9/7/2024 17:20
68,t4g4:122,t4g4,25.34;59.46;3,9/7/2024 17:35
69,t4g4:122,t4g4,25.61;59.48;3,9/7/2024 17:50
70,t4g4:122,t4g4,25.49;59.77;3,9/7/2024 18:05
71,t4g4:122,t4g4,25.38;60.38;3,9/7/2024 18:20
72,t4g4:122,t4g4,25.13;60.66;3,9/7/2024 18:35
73,t4g4:122,t4g4,24.94;61.01;3,9/7/2024 18:50
74,t4g4:122,t4g4,24.87;60.89;3,9/7/2024 19:05
75,t4g4:122,t4g4,25.33;60.39;3,9/7/2024 19:20
76,t4g4:122,t4g4,25.51;61.00;3,9/7/2024 19:35
77,t4g4:122,t4g4,25.57;61.35;3,9/7/2024 19:50
78,t4g4:122,t4g4,25.58;61.63;3,9/7/2024 20:05
79,t4g4:122,t4g4,25.69;61.79;3,9/7/2024 20:20
80,t4g4:122,t4g4,25.71;62.61;3,9/7/2024 20:35
81,t4g4:122,t4g4,25.76;63.13;3,9/7/2024 20:50
82,t4g4:122,t4g4,25.75;63.64;3,9/7/2024 21:05
83,t4g4:122,t4g4,25.84;64.31;3,9/7/2024 21:20
84,t4g4:122,t4g4,25.86;64.68;3,9/7/2024 21:35
85,t4g4:122,t4g4,25.89;65.36;3,9/7/2024 21:50
86,t4g4:122,t4g4,25.93;65.92;3,9/7/2024 22:05
87,t4g4:122,t4g4,25.96;66.33;3,9/7/2024 22:20
88,t4g4:122,t4g4,25.99;66.91;3,9/7/2024 22:35
89,t4g4:122,t4g4,26.00;67.28;3,9/7/2024 22:50
90,t4g4:122,t4g4,25.99;67.80;3,9/7/2024 23:05
91,t4g4:122,t4g4,25.98;68.23;3,9/7/2024 23:20
92,t4g4:122,t4g4,25.99;68.42;3,9/7/2024 23:35
93,t4g4:122,t4g4,26.02;68.74;3,9/7/2024 23:50
94,t4g4:122,t4g4,26.02;69.11;3,10/7/2024 0:05
95,t4g4:122,t4g4,26.02;69.52;3,10/7/2024 0:20
96,t4g4:122,t4g4,26.02;69.98;3,10/7/2024 0:35
97,t4g4:122,t4g4,26.08;70.29;3,10/7/2024 0:50
