id,clientID,topic,message,timestamp
3,device01:104,device01,72;26.51;29.61;3,9/7/24 10:43
4,device01:104,device01,72;26.45;29.13;3,9/7/24 10:58
5,device01:104,device01,48;26.55;29.23;3,9/7/24 11:13
6,device01:104,device01,55;26.71;29.77;3,9/7/24 11:28
7,device01:104,device01,62;27.17;30.29;3,9/7/24 11:43
8,device01:104,device01,55;27.65;30.79;3,9/7/24 11:58
9,device01:104,device01,6;27.21;31.35;3,10/7/24 10:20
10,device01:104,device01,24;27.69;31.93;3,10/7/24 10:35
11,device01:104,device01,0;26.15;28.59;3,10/7/24 10:50
12,device01:104,device01,24;25.97;29.03;3,10/7/24 11:05
13,device01:104,device01,13;26.89;30.87;3,10/7/24 11:20
14,device01:104,device01,13;31.27;37.69;3,10/7/24 11:35
15,device01:104,device01,31;31.65;38.25;3,10/7/24 11:50
16,device01:104,device01,13;31.61;37.79;3,10/7/24 12:05
17,device01:104,device01,31;32.63;39.71;3,10/7/24 12:20
18,device01:104,device01,9;31.71;37.75;3,10/7/24 12:35
19,device01:104,device01,9;30.47;36.29;3,10/7/24 12:50
20,device01:104,device01,13;30.71;35.87;3,10/7/24 13:05
21,device01:104,device01,13;29.61;34.33;3,10/7/24 13:20
22,device01:104,device01,31;30.29;35.53;3,10/7/24 13:35
23,device01:104,device01,13;29.07;33.41;3,10/7/24 13:50
24,device01:104,device01,31;29.75;34.57;3,10/7/24 14:05
25,device01:104,device01,15;31.75;38.77;3,10/7/24 14:20
26,device01:104,device01,13;31.15;35.81;3,10/7/24 14:35
27,device01:104,device01,13;29.55;34.49;3,10/7/24 14:50
28,device01:104,device01,13;31.11;36.19;3,10/7/24 15:05
29,device01:104,device01,31;33.47;39.31;3,10/7/24 15:20
30,device01:104,device01,19;33.85;41.25;3,10/7/24 15:35
31,device01:104,device01,31;34.25;40.91;3,10/7/24 15:50
32,device01:104,device01,19;34.19;41.17;3,10/7/24 16:05
33,device01:104,device01,6;32.65;37.61;3,10/7/24 16:20
34,device01:104,device01,6;28.81;31.49;3,10/7/24 16:35
35,device01:104,device01,19;28.45;31.61;3,10/7/24 16:50
36,device01:104,device01,37;31.95;39.19;3,10/7/24 17:05
37,device01:104,device01,19;28.77;32.87;3,10/7/24 17:20
38,device01:104,device01,19;28.89;33.39;3,10/7/24 17:35
39,device01:104,device01,24;29.79;33.79;3,10/7/24 17:50
40,device01:104,device01,0;26.79;28.91;3,10/7/24 18:05
41,device01:104,device01,0;26.05;27.67;3,10/7/24 18:20
42,device01:104,device01,0;25.73;27.29;3,10/7/24 18:35
43,device01:104,device01,0;25.41;26.93;3,10/7/24 18:50
44,device01:104,device01,0;25.41;26.87;3,10/7/24 19:05
