id,temperature,air_quality,humidity
550,27.7,73.6,40.0
1116,31.5,59.0,37.0
794,27.1,65.3,39.0
1022,25.0,59.2,58.0
620,27.4,60.0,45.0
1420,33.6,57.0,38.0
1007,25.6,62.7,47.0
1079,31.4,49.7,37.0
1222,34.0,51.2,40.0
1448,29.2,51.7,48.0
564,27.8,75.3,38.0
1067,30.5,49.4,41.0
905,26.2,61.0,42.0
383,27.3,73.9,31.0
406,25.3,59.5,38.0
856,27.1,68.3,43.0
345,27.1,70.4,28.0
1167,32.4,57.8,36.0
1127,31.6,58.6,38.0
763,26.2,59.7,44.0
760,26.3,58.9,44.0
574,26.0,64.1,47.0
519,27.6,69.2,39.0
1100,31.6,55.7,38.0
1209,34.9,47.3,39.0
896,25.6,61.2,42.0
680,27.8,73.1,37.0
991,27.3,73.7,41.0
389,27.3,74.9,28.0
396,26.9,69.1,34.0
850,27.5,73.4,40.0
394,27.3,72.2,31.0
772,26.6,58.6,43.0
1447,29.4,51.1,46.0
1309,33.4,56.8,39.0
1216,34.4,49.6,41.0
1385,34.2,53.7,43.0
1046,30.4,49.0,52.0
751,26.0,58.4,44.0
1051,30.3,49.7,42.0
1437,30.1,52.8,49.0
943,27.0,65.4,33.0
665,27.6,71.6,37.0
511,27.5,67.1,39.0
779,26.6,59.4,43.0
899,25.7,61.4,41.0
317,26.6,60.2,26.0
625,27.9,59.6,45.0
1039,29.7,49.3,47.0
719,25.9,63.8,46.0
1354,35.7,46.9,40.0
1413,33.6,56.5,40.0
958,27.1,69.1,42.0
416,24.8,60.4,39.0
848,27.5,73.0,40.0
1407,33.8,55.8,40.0
374,27.3,73.2,31.0
596,25.6,59.4,45.0
972,27.2,71.3,41.0
553,27.7,73.4,40.0
538,27.7,72.7,39.0
457,26.0,61.9,37.0
1428,33.4,58.0,41.0
688,27.7,73.3,39.0
430,25.1,60.8,38.0
1395,34.0,54.4,43.0
565,27.8,75.3,39.0
1466,30.4,51.2,45.0
321,26.3,60.8,28.0
764,26.3,58.8,43.0
1179,33.2,53.8,35.0
704,27.8,74.4,38.0
935,26.8,62.1,39.0
775,26.7,59.1,40.0
1338,35.3,47.8,38.0
456,26.1,62.2,37.0
816,27.3,68.2,41.0
1417,33.6,56.7,41.0
492,26.9,60.6,44.0
1468,30.2,51.7,45.0
